titles,pubDates,guids,urls,description,destfile,wav,trans
Rasseportrait mit Anton: die Terrier,"Thu, 24 Oct 2024 12:46:00 +0000",300fb5b1-9782-4764-9d52-a6c5de986007,https://traffic.libsyn.com/secure/lisastolzlechner/Terrier_mit_Anton_-_24.10.24_14.43.mp3?dest-id=1049825,"<p>#80 Die Jagdpassion der Terrier gehört zu diesen Hunden einfach dazu. Lerne die Terrier kennen und erfahre mehr über die Funktion, die Herkunft und über einzelne Vertretern von Berühmtheiten in dieser Podcastfolge. Auch im ersten Weltkrieg spielten sie eine tragende Rolle. </p> <p>Viel Freude und gute Erkenntnisse mit dieser Folge!</p> <p>_________________________</p> <p>Setze dich auf die Warteliste von Teetektor®, dem digitalen Spurensuchkurs:</p> <p><a href= ""https://lisastolzlechner.com/teetektor/"">https://lisastolzlechner.com/teetektor-infos</a></p> <p>Das digitale Welpenprogramm:</p> <p><a href= ""https://lisastolzlechner.com/welpentraining/"">https://lisastolzlechner.com/welpentraining/</a> </p> <p>Vorbereitungskurs Welpe für 0€:</p> <p><a href= ""https://lisastolzlechner.com/ankunft-welpe/"">https://lisastolzlechner.com/ankunft-welpe/</a> </p> <p>_________________________</p> <p>Genannte Kunstwerke:</p> <p>Gustav Hochstetter ""Foxl an die Front""</p> <p> </p> <p>***************************<br class="""" /> <br class="""" /> Lisa Stolzlechner MSc, <br class="""" /> <br class="""" /> Master of Science, Universität Wien (Verhaltens- & Kognitionsbiologie)<br class="""" /> Bachelor of Science, Universität Wien (Biologie / Zoologie)<br class="""" /> Akademisch geprüfte Kynologin, Veterinärmedizinische Universität Wien<br class="""" /> Tierschutzqualifizierte Hundetrainerin, Österreichisches Bundesministerium für Gesundheit </p> <div class="""">Mail: <a class="""" href= ""mailto:hallo@lisastolzlechner.com"">hallo@lisastolzlechner.com</a> </div> <div class="""">Website: <a class="""" href= ""http://www.lisastolzlechner.com/"">www.lisastolzlechner.com</a></div>",mp3/300fb5b1-9782-4764-9d52-a6c5de986007.mp3,wav/300fb5b1-9782-4764-9d52-a6c5de986007.wav,trans/300fb5b1-9782-4764-9d52-a6c5de986007.rds
Interview: Nasenarbeit als Hobby für jeden Hund,"Thu, 26 Sep 2024 15:58:00 +0000",55eb8e21-5a3a-46bf-8483-4b304671b05b,https://traffic.libsyn.com/secure/lisastolzlechner/Podcastfolge_Nasenarbeit.mp3?dest-id=1049825,"<p>#79 Heute dreht sich alles um das Thema Nasenarbeit. Dazu darf ich gleich eine Gästin begrüßen, nämlich Natalie Knaack-Enkelmann, Gründerin von Studydogs. Sie bietet ihren Kunden unterschiedliche Arten von Nasenarbeit und ist auch lizensierte Teetektor-Trainerin in Essen.</p> <p>Wir spreche heute darüber, welche Arten von Nasenarbeit es gibt, welche Vorteile Nasenarbeit bringt und weshalb die Nasenarbeit für ALLE Hunde wunderbar geeignet ist.</p> <p>Willkommen im Optimal ins Leben Podcast und viel Freude mit dieser Folge!</p> <p>_________________________</p> <p>Infos zu Teetektor®, dem digitalen Spurensuchkurs:</p> <p><a href= ""https://lisastolzlechner.com/teetektor/"">https://lisastolzlechner.com/teetektor/</a> </p> <p>Mini-Kurs ""Der Beschäftigungs-Finder"" (0€):</p> <p><a href= ""https://kurse.lisastolzlechner.com/beschaeftigung-hund"">https://kurse.lisastolzlechner.com/beschaeftigung-hund</a> </p> <p>Auf Instagram findest du mich hier: <a href= ""https://www.instagram.com/lisa.stolzlechner/"">www.instagram.com/lisa.stolzlechner</a></p> <p>_________________________</p> <p>Natalie Knaack-Enkelmann von Studydogs</p> <p><a href=""https://studydogs.de/"">https://studydogs.de/</a></p> <p>Natalie auf Instagram findest du Natalie hier: <a href= ""https://www.instagram.com/natalie_studydogs/"">https://www.instagram.com/natalie_studydogs/</a> </p> <p>_________________________</p> <p>Das digitale Welpenprogramm - jetzt anmelden:</p> <p><a href= ""https://kurse.lisastolzlechner.com/welpenprogramm-infos"">https://kurse.lisastolzlechner.com/welpenprogramm-infos</a> </p> <p>Vorbereitungskurs Welpe für 0€:</p> <p><a href= ""https://lisastolzlechner.com/ankunft-welpe/"">https://lisastolzlechner.com/ankunft-welpe/</a> </p> <p>_________________________</p> <p><br class="""" /> Lisa Stolzlechner MSc, <br class="""" /> <br class="""" /> Master of Science, Universität Wien (Verhaltens- & Kognitionsbiologie)<br class="""" /> Bachelor of Science, Universität Wien (Biologie / Zoologie)<br class="""" /> Akademisch geprüfte Kynologin, Veterinärmedizinische Universität Wien<br class="""" /> Tierschutzqualifizierte Hundetrainerin, Österreichisches Bundesministerium für Gesundheit </p> <div class="""">Mail: <a class="""" href= ""mailto:hallo@lisastolzlechner.com"">hallo@lisastolzlechner.com</a> </div> <div class="""">Website: <a class="""" href= ""http://www.lisastolzlechner.com/"">www.lisastolzlechner.com</a></div>",mp3/55eb8e21-5a3a-46bf-8483-4b304671b05b.mp3,wav/55eb8e21-5a3a-46bf-8483-4b304671b05b.wav,trans/55eb8e21-5a3a-46bf-8483-4b304671b05b.rds
Freilauf: Ist dein junger Hund Freilauf-reif?,"Thu, 12 Sep 2024 08:06:00 +0000",3ee9babb-0c47-45a7-976d-2eeb3e592333,https://traffic.libsyn.com/secure/lisastolzlechner/Freilauf_bei_Welpen_und_Junghunden.mp3?dest-id=1049825,"<p>#78 In dieser Folge dreht sich alles um den Freilauf. Wir klären wieviel Freilauf Hunde benötigen, was es mit dem Folgetrieb auf sich hat und wie man seinen Hund in den Freilauf schicken kann, obwohl noch nicht alle Signale perfekt sitzen. </p> <p>Viel Freude mit der Podcastfolge!</p> <p>_________________________</p> <p>Infos zu Teetektor®, dem digitalen Spurensuchkurs:</p> <p><a href= ""https://lisastolzlechner.com/teetektor/"">https://lisastolzlechner.com/teetektor/</a> </p> <p>Mini-Kurs ""Der Beschäftigungs-Finder"" (0€):</p> <p><a href= ""https://kurse.lisastolzlechner.com/beschaeftigung-hund"">https://kurse.lisastolzlechner.com/beschaeftigung-hund</a> </p> <p> </p> <p>Das digitale Welpenprogramm - jetzt anmelden:</p> <p><a href= ""https://kurse.lisastolzlechner.com/welpenprogramm-infos"">https://kurse.lisastolzlechner.com/welpenprogramm-infos</a> </p> <p>Vorbereitungskurs Welpe für 0€:</p> <p><a href= ""https://lisastolzlechner.com/ankunft-welpe/"">https://lisastolzlechner.com/ankunft-welpe/</a> </p> <p>_________________________</p> <p><br class="""" /> Lisa Stolzlechner MSc, <br class="""" /> <br class="""" /> Master of Science, Universität Wien (Verhaltens- & Kognitionsbiologie)<br class="""" /> Bachelor of Science, Universität Wien (Biologie / Zoologie)<br class="""" /> Akademisch geprüfte Kynologin, Veterinärmedizinische Universität Wien<br class="""" /> Tierschutzqualifizierte Hundetrainerin, Österreichisches Bundesministerium für Gesundheit </p> <div class="""">Mail: <a class="""" href= ""mailto:hallo@lisastolzlechner.com"">hallo@lisastolzlechner.com</a> </div> <div class="""">Website: <a class="""" href= ""http://www.lisastolzlechner.com/"">www.lisastolzlechner.com</a></div> <div class=""""> </div> <p>Auf Instagram findest du mich hier: <a href= ""https://www.instagram.com/lisa.stolzlechner/"">www.instagram.com/lisa.stolzlechner</a></p> <p> </p>",mp3/3ee9babb-0c47-45a7-976d-2eeb3e592333.mp3,wav/3ee9babb-0c47-45a7-976d-2eeb3e592333.wav,trans/3ee9babb-0c47-45a7-976d-2eeb3e592333.rds
Sommerwelpe: Pro- und Kontra-Punkte,"Sun, 07 Jul 2024 16:21:00 +0000",3fcde238-ccf0-4337-8809-fcf71ef53249,https://traffic.libsyn.com/secure/lisastolzlechner/Sommerwelpe_Pro_und_Kontra.mp3?dest-id=1049825,"<p>#77 Du hast einen Sommerwelpen oder bekommst einen? Dann ist diese Folge perfekt für dich. Ich teile mit dir meine persönlichen Pro- und Kontra-Punkte. Denn wie überall gibt es sowohl Vor- als auch Nachteile, einen Welpen im Sommer zu bekommen.</p> <p>Viel Freude mit der Podcastfolge!</p> <p>_________________________</p> <p>Das digitale Welpenprogramm - jetzt anmelden:</p> <p><a href= ""https://kurse.lisastolzlechner.com/welpenprogramm-infos"">https://kurse.lisastolzlechner.com/welpenprogramm-infos</a> </p> <p>Vorbereitungskurs Welpe für 0€:</p> <p><a href= ""https://lisastolzlechner.com/ankunft-welpe/"">https://lisastolzlechner.com/ankunft-welpe/</a> </p> <p> </p> <p>Infos zu Teetektor®, dem digitalen Spurensuchkurs:</p> <p><a href= ""https://lisastolzlechner.com/teetektor/"">https://lisastolzlechner.com/teetektor/</a> </p> <p>Mini-Kurs ""Der Beschäftigungs-Finder"" (0€):</p> <p><a href= ""https://kurse.lisastolzlechner.com/beschaeftigung-hund"">https://kurse.lisastolzlechner.com/beschaeftigung-hund</a> </p> <p>_________________________</p> <p><br class="""" /> Lisa Stolzlechner MSc, <br class="""" /> <br class="""" /> Master of Science, Universität Wien (Verhaltens- & Kognitionsbiologie)<br class="""" /> Bachelor of Science, Universität Wien (Biologie / Zoologie)<br class="""" /> Akademisch geprüfte Kynologin, Veterinärmedizinische Universität Wien<br class="""" /> Tierschutzqualifizierte Hundetrainerin, Österreichisches Bundesministerium für Gesundheit </p> <div class="""">Mail: <a class="""" href= ""mailto:hallo@lisastolzlechner.com"">hallo@lisastolzlechner.com</a> </div> <div class="""">Website: <a class="""" href= ""http://www.lisastolzlechner.com/"">www.lisastolzlechner.com</a></div> <div class=""""> </div> <p>Auf Instagram findest du mich hier: <a href= ""https://www.instagram.com/lisa.stolzlechner/"">www.instagram.com/lisa.stolzlechner</a></p>",mp3/3fcde238-ccf0-4337-8809-fcf71ef53249.mp3,wav/3fcde238-ccf0-4337-8809-fcf71ef53249.wav,trans/3fcde238-ccf0-4337-8809-fcf71ef53249.rds
Die perfekte Vorbereitung auf deinen Welpen,"Wed, 19 Jun 2024 11:24:00 +0000",a6458546-a8a1-4d5b-bdc5-63e6f47750f5,https://traffic.libsyn.com/secure/lisastolzlechner/Perfekte_Vorbereitung.mp3?dest-id=1049825,"<p>#76 Vorbereitung ist alles! Und zwar betrifft das die eigenen Erwartungen an die Welpenzeit, wie auch praktische Dinge. Du erfährst alles, was du wissen musst, um gut vorbereitet zu sein. Lade dir zu dieser Podcastfolge unbedingt noch den Mini-Kurs ""DIE ANKUNFT"" herunter. Die perfekte Ergänzung zu dieser Podcastfolge. </p> <p>Und damit Willkommen in meinem Podcast. Mein Name ist Lisa Stolzlechner, ich bin Verhaltensbiologin und Trainerin und ich begleite Menschen mit ihren Hunden bei der artgerechten Beschäftigung und helfe durch die Welpen- und Junghundezeit.</p> <p>Viel Freude mit dieser Folge!</p> <p>_________________________</p> <p>Vorbereitungskurs Welpe für 0€:</p> <p><a href= ""https://lisastolzlechner.com/ankunft-welpe/"">https://lisastolzlechner.com/ankunft-welpe/</a> </p> <p> </p> <p>Das digitale Welpenprogramm:</p> <p><a href= ""https://lisastolzlechner.com/welpentraining/"">https://lisastolzlechner.com/welpentraining/</a> </p> <p>Mini-Kurs ""Der Beschäftigungs-Finder"" (0€):</p> <p><a href= ""https://kurse.lisastolzlechner.com/beschaeftigung-hund"">https://kurse.lisastolzlechner.com/beschaeftigung-hund</a> </p> <p>Infos zu Teetektor®, dem digitalen Spurensuchkurs:</p> <p><a href= ""https://lisastolzlechner.com/teetektor/"">https://lisastolzlechner.com/teetektor/</a> </p> <p>_________________________</p> <p> </p> <p>Genannte Podcastfolgen:</p> <p>#68 Maxi, Assistenzhund to be</p> <p>#12 Halsband oder Brustgeschirr - Was ist für deinen Welpen oder Junghund besser geeignet?</p> <p> </p> <p>***************************<br class="""" /> <br class="""" /> Lisa Stolzlechner MSc, <br class="""" /> <br class="""" /> Master of Science, Universität Wien (Verhaltens- & Kognitionsbiologie)<br class="""" /> Bachelor of Science, Universität Wien (Biologie / Zoologie)<br class="""" /> Akademisch geprüfte Kynologin, Veterinärmedizinische Universität Wien<br class="""" /> Tierschutzqualifizierte Hundetrainerin, Österreichisches Bundesministerium für Gesundheit </p> <div class="""">Mail: <a class="""" href= ""mailto:hallo@lisastolzlechner.com"">hallo@lisastolzlechner.com</a> </div> <div class="""">Website: <a class="""" href= ""http://www.lisastolzlechner.com/"">www.lisastolzlechner.com</a></div> <p> </p>",mp3/a6458546-a8a1-4d5b-bdc5-63e6f47750f5.mp3,wav/a6458546-a8a1-4d5b-bdc5-63e6f47750f5.wav,trans/a6458546-a8a1-4d5b-bdc5-63e6f47750f5.rds
Rasseportrait mit Anton: der Pudel / Wasserhund,"Thu, 16 May 2024 08:33:00 +0000",c32db2de-ee3c-46fb-9a8c-27565fb76bc8,https://traffic.libsyn.com/secure/lisastolzlechner/Podcast_Pudel_Rasseportrait_mit_Anton.mp3?dest-id=1049825,"<p>#75 Historisch gesehen war der Pudel ein Hund der Reichen und Berühmten - daher ein wunderbares geschichtliches Thema für Anton und mich. Du erfährst über die Geschichte des Pudels, ihrem Wesen, die aufwändige Schur und die Rolle des Pudels in der Kunst. </p> <p>Viel Freude mit dieser Folge! </p> <p>_________________________</p> <p>Starte mit Teetektor®, dem digitalen Spurensuchkurs:</p> <p><a href= ""https://lisastolzlechner.com/teetektor/"">https://lisastolzlechner.com/teetektor/</a> </p> <p>Das digitale Welpenprogramm:</p> <p><a href= ""https://lisastolzlechner.com/welpentraining/"">https://lisastolzlechner.com/welpentraining/</a> </p> <p>Vorbereitungskurs Welpe für 0€:</p> <p><a href= ""https://lisastolzlechner.com/ankunft-welpe/"">https://lisastolzlechner.com/ankunft-welpe/</a> </p> <p> </p> <p>_________________________</p> <p>Genannte Kunstwerke:</p> <p>Heinrich Heine ""Der tugendhafte Hund""</p> <p>Ludwig van Beethoven ""Elegie auf den Tod eines Pudels"" gesungen von Judith Sauer und begleitet von Prof. Alma Sauer</p> <p>_________________________</p> <p>Antons Pudelbücher: </p> <p><a href= ""https://www.oecp.at/index.php/pudelbuch.html#:~:text=Am%2028.%20Oktober%202023%20wurde,Pudelbuch%20im%20feierlichen%20Rahmen%20pr%C3%A4sentiert.&text=Am%2021.%20Juli%202013%20wurde,%C3%96sterreichischen%20Clubs%20der%20Pudelfreunde%20pr%C3%A4sentiert.""> Pudelbücher</a></p> <p> </p> <p>***************************<br class="""" /> <br class="""" /> Lisa Stolzlechner MSc, <br class="""" /> <br class="""" /> Master of Science, Universität Wien (Verhaltens- & Kognitionsbiologie)<br class="""" /> Bachelor of Science, Universität Wien (Biologie / Zoologie)<br class="""" /> Akademisch geprüfte Kynologin, Veterinärmedizinische Universität Wien<br class="""" /> Tierschutzqualifizierte Hundetrainerin, Österreichisches Bundesministerium für Gesundheit </p> <div class="""">Mail: <a class="""" href= ""mailto:hallo@lisastolzlechner.com"">hallo@lisastolzlechner.com</a> </div> <div class="""">Website: <a class="""" href= ""http://www.lisastolzlechner.com/"">www.lisastolzlechner.com</a></div>",mp3/c32db2de-ee3c-46fb-9a8c-27565fb76bc8.mp3,wav/c32db2de-ee3c-46fb-9a8c-27565fb76bc8.wav,trans/c32db2de-ee3c-46fb-9a8c-27565fb76bc8.rds
Ängstlicher Welpe oder Junghund und deine Unterstützung,"Thu, 18 Apr 2024 09:48:00 +0000",1b80b32e-33b6-461e-ae46-ad194f191d99,https://traffic.libsyn.com/secure/lisastolzlechner/74_ngstlicher_Welpe.mp3?dest-id=1049825,"<p>#74 Es ist nicht einfach mit einem Welpen oder Junghund, der eine erhöhte Ängstlichkeit aufweist. ABER dir sind nicht die Hände gebunden! Du hast viele Möglichkeiten von Anfang an dafür zu sorgen, dass dein Welpe selbstbewusster wird und besser mit seiner Umwelt klar kommt. </p> <p>Wir sprechen in dieser Podcastfolge darüber, woher die Angst kommen kann, wie du damit umgehen und deinen Welpen oder Junghund unterstützen kannst.</p> <p>Und damit Willkommen in meinem Podcast. Mein Name ist Lisa Stolzlechner, ich bin Verhaltensbiologin und Trainerin und ich begleite Menschen mit ihren Hunden bei der artgerechten Beschäftigung und helfe durch die Welpen- und Junghundezeit.</p> <p>Viel Freude mit dieser Folge!</p> <p>_________________________</p> <p>Infos zu Teetektor®, dem digitalen Spurensuchkurs:</p> <p><a href= ""https://lisastolzlechner.com/teetektor/"">https://lisastolzlechner.com/teetektor/</a> </p> <p>Das digitale Welpenprogramm:</p> <p><a href= ""https://lisastolzlechner.com/welpentraining/"">https://lisastolzlechner.com/welpentraining/</a> </p> <p>Vorbereitungskurs Welpe für 0€:</p> <p><a href= ""https://lisastolzlechner.com/ankunft-welpe/"">https://lisastolzlechner.com/ankunft-welpe/</a> </p> <p> </p> <p>Mini-Kurs ""Der Beschäftigungs-Finder"" (0€):</p> <p><a href= ""https://kurse.lisastolzlechner.com/beschaeftigung-hund"">https://kurse.lisastolzlechner.com/beschaeftigung-hund</a> </p> <p>_________________________</p> <p> </p> <p>Genannte Podcastfolgen:</p> <p>#47 Unsicherheit - Wohlbefinden von Welpen / jungen Hunden steigern</p> <p>#51 Hundebuddies - welche Art von Hundekontakt Welpen und Junghunde benötigen</p> <p>#54 Angstphasen bei Welpen und Junghunden</p> <p> </p> <p>***************************<br class="""" /> <br class="""" /> Lisa Stolzlechner MSc, <br class="""" /> <br class="""" /> Master of Science, Universität Wien (Verhaltens- & Kognitionsbiologie)<br class="""" /> Bachelor of Science, Universität Wien (Biologie / Zoologie)<br class="""" /> Akademisch geprüfte Kynologin, Veterinärmedizinische Universität Wien<br class="""" /> Tierschutzqualifizierte Hundetrainerin, Österreichisches Bundesministerium für Gesundheit </p> <div class="""">Mail: <a class="""" href= ""mailto:hallo@lisastolzlechner.com"">hallo@lisastolzlechner.com</a> </div> <div class="""">Website: <a class="""" href= ""http://www.lisastolzlechner.com/"">www.lisastolzlechner.com</a></div> <p> </p>",mp3/1b80b32e-33b6-461e-ae46-ad194f191d99.mp3,wav/1b80b32e-33b6-461e-ae46-ad194f191d99.wav,trans/1b80b32e-33b6-461e-ae46-ad194f191d99.rds
Interview: Kind und Hund mit Expertin Claudia Peter-Plum,"Sat, 06 Apr 2024 08:45:00 +0000",b018f4db-05a2-4199-a1ec-4307c085fef4,https://traffic.libsyn.com/secure/lisastolzlechner/Interview_-_Hund_und_Kind_.mp3?dest-id=1049825,"<p>#73 Kinder und Hunde, ein Thema, mit dem wir uns beschäfigen müssen. Ganz egal ob Kinder im eigenen Haushalt leben, man Freund:innen oder Verwandte mit Kindern hat oder beim Spaziergang immer wieder kleine Menschen trifft. Du findest hier Informationen von meiner Gästin Claudia Peter-Plum - sie beantwortet alle meine Fragen zu den Themen: Interaktion, Zusammenführung, besondere Momente, Do's and Don'ts im Alltag mit Kind und Hund. </p> <p>Viel Freude und hoffentlich gute Erkenntnisse mit dieser Folge!</p> <p>_________________________</p> <p>Claudia Peter-Plum</p> <p><a href= ""https://dogsandkids.de"">https://dogsandkids.de</a> </p> <p>Podcast Wuff & Wow - der Hundepodcast für Kinder</p> <p><a href= ""https://letscast.fm/podcasts/wuff-wow-der-hundepodcast-fuer-kinder-39516885/feed""> https://letscast.fm/podcasts/wuff-wow-der-hundepodcast-fuer-kinder-39516885/feed</a> </p> <p>_________________________</p> <p>Infos zu Teetektor®, dem digitalen Spurensuchkurs:</p> <p><a href= ""https://lisastolzlechner.com/teetektor/"">https://lisastolzlechner.com/teetektor/</a> </p> <p>Das digitale Welpenprogramm:</p> <p><a href= ""https://lisastolzlechner.com/welpentraining/"">https://lisastolzlechner.com/welpentraining/</a> </p> <p>Vorbereitungskurs Welpe für 0€:</p> <p><a href= ""https://lisastolzlechner.com/ankunft-welpe/"">https://lisastolzlechner.com/ankunft-welpe/</a> </p> <p> </p> <p>Mini-Kurs ""Der Beschäftigungs-Finder"" (0€):</p> <p><a href= ""https://kurse.lisastolzlechner.com/beschaeftigung-hund"">https://kurse.lisastolzlechner.com/beschaeftigung-hund</a> </p> <p>***************************</p> <p><br class="""" /> Lisa Stolzlechner MSc, <br class="""" /> <br class="""" /> Master of Science, Universität Wien (Verhaltens- & Kognitionsbiologie)<br class="""" /> Bachelor of Science, Universität Wien (Biologie / Zoologie)<br class="""" /> Akademisch geprüfte Kynologin, Veterinärmedizinische Universität Wien<br class="""" /> Tierschutzqualifizierte Hundetrainerin, Österreichisches Bundesministerium für Gesundheit </p> <div class="""">Mail: <a class="""" href= ""mailto:hallo@lisastolzlechner.com"">hallo@lisastolzlechner.com</a> </div> <div class="""">Website: <a class="""" href= ""http://www.lisastolzlechner.com/"">www.lisastolzlechner.com</a></div> <p> </p> <p> </p>",mp3/b018f4db-05a2-4199-a1ec-4307c085fef4.mp3,wav/b018f4db-05a2-4199-a1ec-4307c085fef4.wav,trans/b018f4db-05a2-4199-a1ec-4307c085fef4.rds
"Hundespiel - ""Ohhhh sie spielen doch so süß"" ...tun sie das wirklich?","Fri, 22 Mar 2024 19:32:00 +0000",2179c46f-b962-4068-b011-7dc5dd4d43ca,https://traffic.libsyn.com/secure/lisastolzlechner/72_Sie_spielen_doch_so_s_-_22.03.24_20.44.mp3?dest-id=1049825,"<p>#72 Erfahre in dieser Podcastfolge, wie du Spiel erkennen und von anderen Verhaltensweisen unterscheiden kannst. Woran kann man Spiel von sexuellem Flirten unterscheiden? Je besser du deinen Hund und andere verstehst, desto besser kannst du deinen jungen Hund unterstützen, sodass er ein gutes und stabiles Sozialverhalten entwickelt. </p> <p>Viel Freude und hoffentlich gute Erkenntnisse mit dieser Folge!</p> <p>_________________________</p> <p>Infos zu Teetektor®, dem digitalen Spurensuchkurs:</p> <p><a href= ""https://lisastolzlechner.com/teetektor/"">https://lisastolzlechner.com/teetektor/</a> </p> <p>Das digitale Welpenprogramm:</p> <p><a href= ""https://lisastolzlechner.com/welpentraining/"">https://lisastolzlechner.com/welpentraining/</a> </p> <p>Vorbereitungskurs Welpe für 0€:</p> <p><a href= ""https://lisastolzlechner.com/ankunft-welpe/"">https://lisastolzlechner.com/ankunft-welpe/</a> </p> <p> </p> <p>Mini-Kurs ""Der Beschäftigungs-Finder"" (0€):</p> <p><a href= ""https://kurse.lisastolzlechner.com/beschaeftigung-hund"">https://kurse.lisastolzlechner.com/beschaeftigung-hund</a> </p> <p>_________________________</p> <p><br class="""" /> Lisa Stolzlechner MSc, <br class="""" /> <br class="""" /> Master of Science, Universität Wien (Verhaltens- & Kognitionsbiologie)<br class="""" /> Bachelor of Science, Universität Wien (Biologie / Zoologie)<br class="""" /> Akademisch geprüfte Kynologin, Veterinärmedizinische Universität Wien<br class="""" /> Tierschutzqualifizierte Hundetrainerin, Österreichisches Bundesministerium für Gesundheit </p> <div class="""">Mail: <a class="""" href= ""mailto:hallo@lisastolzlechner.com"">hallo@lisastolzlechner.com</a> </div> <div class="""">Website: <a class="""" href= ""http://www.lisastolzlechner.com/"">www.lisastolzlechner.com</a></div> <p> </p>",mp3/2179c46f-b962-4068-b011-7dc5dd4d43ca.mp3,wav/2179c46f-b962-4068-b011-7dc5dd4d43ca.wav,trans/2179c46f-b962-4068-b011-7dc5dd4d43ca.rds
Interview: Rassenentwicklung mit Anton Schoberwalter,"Wed, 06 Mar 2024 21:50:00 +0000",81c7d850-42b7-460c-a7c9-a858b8213e8e,https://traffic.libsyn.com/secure/lisastolzlechner/71_finale_podcastfolge_mit_Anton_Rassenentwicklung_-_06.03.24_17.42.mp3?dest-id=1049825,"<p>#71 Anton Schoberwalter ist Hundegeschichtsexperte, Autor zahlreicher Bücher und Gründer des europäischen Hundemuseums... und jetzt regelmäßig Gast in meinem Podcast.</p> <p>Wir sprechen in dieser Folge über die Entwicklung der Rassen und beleuchten den Weg von der Domestikation bis in die Neuzeit. Du erfährst außerdem, welche Rassen damals schon sehr wichtig waren und in welcher Funktion sie eingesetzt wurden. </p> <p>Folge uns auf Instagram und schaue dir die Bilder an, über die wir in der Folge sprechen: <a href= ""https://www.instagram.com/hunde.geschichte/"">https://www.instagram.com/hunde.geschichte/</a> </p> <p>Viel Freude mit dieser Folge! </p> <p>_________________________</p> <p>Infos zu Teetektor®, dem digitalen Spurensuchkurs:</p> <p><a href= ""https://lisastolzlechner.com/teetektor/"">https://lisastolzlechner.com/teetektor/</a> </p> <p>Das digitale Welpenprogramm:</p> <p><a href= ""https://lisastolzlechner.com/welpentraining/"">https://lisastolzlechner.com/welpentraining/</a> </p> <p>Vorbereitungskurs Welpe für 0€:</p> <p><a href= ""https://lisastolzlechner.com/ankunft-welpe/"">https://lisastolzlechner.com/ankunft-welpe/</a> </p> <p> </p> <p>Mini-Kurs ""Der Beschäftigungs-Finder"" (0€):</p> <p><a href= ""https://kurse.lisastolzlechner.com/beschaeftigung-hund"">https://kurse.lisastolzlechner.com/beschaeftigung-hund</a> </p> <p> </p> <p>***************************</p> <p><br class="""" /> Lisa Stolzlechner MSc, <br class="""" /> <br class="""" /> Master of Science, Universität Wien (Verhaltens- & Kognitionsbiologie)<br class="""" /> Bachelor of Science, Universität Wien (Biologie / Zoologie)<br class="""" /> Akademisch geprüfte Kynologin, Veterinärmedizinische Universität Wien<br class="""" /> Tierschutzqualifizierte Hundetrainerin, Österreichisches Bundesministerium für Gesundheit </p> <div class="""">Mail: <a class="""" href= ""mailto:hallo@lisastolzlechner.com"">hallo@lisastolzlechner.com</a> </div> <div class="""">Website: <a class="""" href= ""http://www.lisastolzlechner.com/"">www.lisastolzlechner.com</a></div>",mp3/81c7d850-42b7-460c-a7c9-a858b8213e8e.mp3,wav/81c7d850-42b7-460c-a7c9-a858b8213e8e.wav,trans/81c7d850-42b7-460c-a7c9-a858b8213e8e.rds
